0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5.0,14.0,6.0,3.0,11.0,13.0,8.0,4.0,9.0,7.0,15.0,12.0,1.0,2.0,10.0,2.0,75.1
12.0,4.0,2.0,8.0,13.0,10.0,15.0,6.0,14.0,11.0,3.0,7.0,5.0,1.0,9.0,2.0,78.3
1.0,5.0,14.0,10.0,15.0,4.0,3.0,6.0,13.0,2.0,11.0,9.0,7.0,8.0,12.0,2.0,64.6
8.0,4.0,10.0,11.0,7.0,3.0,5.0,2.0,13.0,1.0,15.0,12.0,6.0,14.0,9.0,2.0,69.3
1.0,2.0,8.0,5.0,11.0,15.0,4.0,7.0,14.0,3.0,9.0,13.0,6.0,12.0,10.0,2.0,74.1
10.0,7.0,15.0,8.0,12.0,9.0,6.0,4.0,11.0,3.0,1.0,5.0,14.0,2.0,13.0,2.0,79.1
7.0,9.0,11.0,13.0,1.0,10.0,5.0,8.0,6.0,15.0,3.0,12.0,14.0,2.0,4.0,2.0,63.3
13.0,11.0,10.0,6.0,12.0,5.0,8.0,4.0,9.0,15.0,7.0,1.0,14.0,2.0,3.0,2.0,62.28
1.0,4.0,10.0,11.0,15.0,3.0,5.0,2.0,13.0,7.0,9.0,14.0,6.0,12.0,8.0,2.0,77.9
4.0,8.0,9.0,11.0,10.0,2.0,13.0,6.0,1.0,5.0,12.0,3.0,7.0,15.0,14.0,2.0,90.7
13.0,14.0,7.0,9.0,1.0,5.0,4.0,6.0,10.0,3.0,12.0,2.0,8.0,15.0,11.0,2.0,78.8
5.0,10.0,14.0,12.0,11.0,13.0,6.0,4.0,9.0,7.0,15.0,1.0,8.0,2.0,3.0,2.0,73.2
13.0,7.0,10.0,6.0,12.0,9.0,8.0,11.0,5.0,4.0,1.0,14.0,15.0,2.0,3.0,2.0,66.44
13.0,15.0,11.0,5.0,8.0,4.0,2.0,7.0,14.0,1.0,3.0,12.0,6.0,10.0,9.0,2.0,62.4
1.0,7.0,8.0,5.0,3.0,15.0,4.0,2.0,14.0,12.0,11.0,10.0,6.0,13.0,9.0,2.0,65.8
1.0,2.0,8.0,5.0,11.0,15.0,4.0,7.0,14.0,12.0,3.0,10.0,6.0,13.0,9.0,2.0,82.2
1.0,7.0,8.0,5.0,3.0,15.0,4.0,2.0,14.0,11.0,9.0,13.0,6.0,12.0,10.0,2.0,77.25
13.0,15.0,9.0,6.0,8.0,4.0,2.0,7.0,14.0,5.0,12.0,1.0,10.0,11.0,3.0,2.0,66.5
13.0,4.0,2.0,5.0,12.0,7.0,11.0,15.0,10.0,1.0,3.0,8.0,6.0,14.0,9.0,2.0,80.7
9.0,7.0,12.0,13.0,1.0,10.0,5.0,3.0,6.0,15.0,8.0,11.0,14.0,2.0,4.0,2.0,76.1
12.0,8.0,13.0,7.0,14.0,11.0,1.0,2.0,5.0,10.0,3.0,4.0,6.0,9.0,15.0,2.0,81.25
1.0,5.0,3.0,4.0,13.0,10.0,15.0,6.0,14.0,11.0,2.0,7.0,9.0,12.0,8.0,2.0,72.75
1.0,5.0,10.0,11.0,7.0,3.0,4.0,2.0,13.0,15.0,9.0,6.0,14.0,8.0,12.0,2.0,75.25
13.0,8.0,11.0,9.0,1.0,5.0,4.0,6.0,10.0,3.0,12.0,2.0,7.0,15.0,14.0,2.0,76.8
13.0,14.0,7.0,9.0,1.0,5.0,4.0,6.0,10.0,2.0,12.0,3.0,8.0,15.0,11.0,2.0,83.3
13.0,7.0,9.0,6.0,8.0,15.0,4.0,2.0,14.0,5.0,12.0,1.0,10.0,11.0,3.0,2.0,71.2
1.0,15.0,8.0,5.0,3.0,4.0,2.0,7.0,14.0,12.0,11.0,10.0,6.0,13.0,9.0,2.0,71.7
1.0,8.0,11.0,9.0,13.0,12.0,7.0,15.0,10.0,3.0,5.0,2.0,4.0,6.0,14.0,2.0,86.9
2.0,11.0,8.0,7.0,1.0,5.0,4.0,6.0,9.0,15.0,13.0,10.0,14.0,12.0,3.0,2.0,77.5
7.0,10.0,5.0,8.0,12.0,9.0,6.0,2.0,13.0,3.0,1.0,15.0,14.0,4.0,11.0,2.0,79.75
8.0,2.0,10.0,13.0,7.0,3.0,5.0,4.0,11.0,1.0,15.0,12.0,6.0,14.0,9.0,2.0,70.6
1.0,15.0,8.0,7.0,3.0,4.0,12.0,5.0,6.0,2.0,11.0,10.0,14.0,13.0,9.0,2.0,71.94
1.0,6.0,2.0,4.0,15.0,13.0,10.0,7.0,14.0,12.0,11.0,5.0,8.0,3.0,9.0,2.0,64.2
13.0,11.0,10.0,9.0,12.0,5.0,4.0,8.0,6.0,15.0,7.0,1.0,14.0,2.0,3.0,2.0,69.25
6.0,7.0,12.0,13.0,1.0,10.0,5.0,4.0,9.0,15.0,3.0,11.0,14.0,2.0,8.0,2.0,78.4
13.0,11.0,9.0,8.0,12.0,5.0,4.0,6.0,10.0,7.0,15.0,1.0,14.0,2.0,3.0,2.0,60.25
13.0,6.0,11.0,10.0,1.0,5.0,8.0,4.0,9.0,3.0,12.0,2.0,7.0,15.0,14.0,2.0,81.5
7.0,1.0,10.0,5.0,4.0,6.0,8.0,12.0,14.0,9.0,3.0,13.0,11.0,15.0,2.0,2.0,87.0
11.0,4.0,12.0,6.0,9.0,7.0,2.0,10.0,5.0,13.0,15.0,8.0,3.0,14.0,1.0,2.0,75.94
6.0,15.0,2.0,4.0,11.0,8.0,14.0,10.0,9.0,5.0,7.0,3.0,1.0,13.0,12.0,2.0,58.38
2.0,11.0,6.0,13.0,12.0,14.0,3.0,5.0,10.0,7.0,8.0,4.0,15.0,1.0,9.0,2.0,77.6
2.0,11.0,6.0,13.0,3.0,10.0,12.0,5.0,14.0,7.0,8.0,4.0,15.0,1.0,9.0,2.0,78.25
3.0,11.0,8.0,6.0,12.0,14.0,2.0,4.0,10.0,9.0,13.0,15.0,1.0,7.0,5.0,2.0,74.1
13.0,8.0,11.0,5.0,1.0,9.0,4.0,6.0,10.0,3.0,12.0,2.0,7.0,15.0,14.0,2.0,75.44
13.0,15.0,11.0,9.0,8.0,4.0,2.0,7.0,14.0,1.0,3.0,12.0,6.0,10.0,5.0,2.0,66.75
9.0,10.0,15.0,12.0,3.0,13.0,6.0,11.0,5.0,4.0,1.0,14.0,8.0,2.0,7.0,2.0,68.75
14.0,3.0,8.0,9.0,7.0,11.0,10.0,4.0,13.0,6.0,2.0,15.0,1.0,5.0,12.0,2.0,75.94
13.0,15.0,3.0,4.0,7.0,5.0,8.0,2.0,14.0,12.0,11.0,10.0,6.0,1.0,9.0,2.0,75.3
13.0,6.0,11.0,10.0,1.0,4.0,7.0,5.0,9.0,3.0,12.0,14.0,8.0,15.0,2.0,2.0,72.2
4.0,11.0,9.0,8.0,12.0,10.0,13.0,6.0,5.0,7.0,15.0,1.0,14.0,2.0,3.0,2.0,68.9
8.0,3.0,12.0,10.0,11.0,5.0,4.0,15.0,2.0,14.0,9.0,13.0,7.0,1.0,6.0,2.0,63.97
